name,online_order,book_table,rate,votes,location,approx_cost(for two people),listed_in(type),listed_in(city)
"Cafe P Square","Yes","No",3.8,26,"Kalyan Nagar",250,"Delivery","Kammanahalli"
"Chickpet Donne Biryani House","Yes","No",3.8,185,"Kammanahalli",250,"Delivery","Kammanahalli"
"Chetty's Corner","Yes","No",3.8,34,"Koramangala 7th Block",250,"Delivery","Koramangala 4th Block"
"Southinn","Yes","No",3.8,191,"HSR",250,"Delivery","Koramangala 4th Block"
"The Midnight Kitchen","Yes","No",3.8,72,"Koramangala 8th Block",250,"Delivery","Koramangala 4th Block"
"99 Variety Dosa & Pav Bhaji","Yes","No",3.8,16,"Koramangala 6th Block",250,"Delivery","Koramangala 5th Block"
"Southinn","Yes","No",3.8,191,"HSR",250,"Delivery","Koramangala 5th Block"
"Parathe Wali Gali","Yes","No",3.8,37,"Wilson Garden",250,"Delivery","Koramangala 5th Block"
"Ramji Chaiwale","Yes","No",3.8,94,"Koramangala 1st Block",250,"Delivery","Koramangala 5th Block"
"Uday Sweets","Yes","No",3.8,34,"Koramangala 5th Block",250,"Delivery","Koramangala 5th Block"
"The Midnight Kitchen","Yes","No",3.8,72,"Koramangala 8th Block",250,"Delivery","Koramangala 5th Block"
"99 Variety Dosa & Pav Bhaji","Yes","No",3.8,16,"Koramangala 6th Block",250,"Delivery","Koramangala 6th Block"
"Southinn","Yes","No",3.8,191,"HSR",250,"Delivery","Koramangala 6th Block"
"Parathe Wali Gali","Yes","No",3.8,37,"Wilson Garden",250,"Delivery","Koramangala 6th Block"
"Chetty's Corner","Yes","No",3.8,34,"Koramangala 7th Block",250,"Delivery","Koramangala 6th Block"
"The Midnight Kitchen","Yes","No",3.8,72,"Koramangala 8th Block",250,"Delivery","Koramangala 6th Block"
"99 Variety Dosa & Pav Bhaji","Yes","No",3.8,16,"Koramangala 6th Block",250,"Delivery","Koramangala 7th Block"
"Parathe Wali Gali","Yes","No",3.8,38,"Wilson Garden",250,"Delivery","Koramangala 7th Block"
"Baskin Robbins","Yes","No",3.8,23,"Koramangala 3rd Block",250,"Delivery","Koramangala 7th Block"
"Jalaram Sweets","Yes","No",3.8,32,"Jayanagar",250,"Delivery","Koramangala 7th Block"
"Ramji Chaiwale","Yes","No",3.8,94,"Koramangala 1st Block",250,"Delivery","Koramangala 7th Block"
"The Midnight Kitchen","Yes","No",3.8,72,"Koramangala 8th Block",250,"Delivery","Koramangala 7th Block"
"Parathe Wali Gali","Yes","No",3.8,38,"Wilson Garden",250,"Delivery","Lavelle Road"
"Foody's","Yes","No",3.8,169,"Shanti Nagar",250,"Delivery","Lavelle Road"
"Cold Station","Yes","No",3.8,18,"Rajajinagar",250,"Delivery","Malleshwaram"
"Donne Biriyani Angadi Mane","Yes","No",3.8,161,"New BEL Road",250,"Delivery","Malleshwaram"
"Donne Biriyani Angadi Mane","Yes","No",3.8,266,"Rajajinagar",250,"Delivery","Malleshwaram"
"Rolls Kitchen","Yes","No",3.8,78,"Rajajinagar",250,"Delivery","Malleshwaram"
"Fish Chain","Yes","No",3.8,84,"Varthur Main Road, Whitefield",250,"Delivery","Marathahalli"
"Chai Point","Yes","No",3.8,94,"Marathahalli",250,"Delivery","Marathahalli"
"Amchoor","Yes","No",3.8,38,"Marathahalli",250,"Delivery","Marathahalli"
"Lion King","Yes","No",3.8,76,"Kaggadasapura",250,"Delivery","Marathahalli"
"Gaura's Secret Recipe","Yes","No",3.8,32,"Marathahalli",250,"Delivery","Marathahalli"
"Donne Biriyani Angadi Mane","Yes","No",3.8,161,"New BEL Road",250,"Delivery","New BEL Road"
"Lion King","Yes","No",3.8,76,"Kaggadasapura",250,"Delivery","Old Airport Road"
"Cafe Soy","Yes","No",3.8,48,"Indiranagar",250,"Delivery","Old Airport Road"
"Donne Biriyani Angadi Mane","Yes","No",3.8,268,"Rajajinagar",250,"Delivery","Rajajinagar"
"Rolling Waffles","Yes","No",3.8,35,"Basaveshwara Nagar",250,"Delivery","Rajajinagar"
"Cold Station","Yes","No",3.8,18,"Rajajinagar",250,"Delivery","Rajajinagar"
"Gowda's Biriyani Corner","Yes","No",3.8,91,"Vijay Nagar",250,"Delivery","Rajajinagar"
"Rolls Kitchen","Yes","No",3.8,78,"Rajajinagar",250,"Delivery","Rajajinagar"
"Parathe Wali Gali","Yes","No",3.8,38,"Wilson Garden",250,"Delivery","Residency Road"
"Foody's","Yes","No",3.8,169,"Shanti Nagar",250,"Delivery","Residency Road"
"Kolkata Biryani Center","Yes","No",3.8,40,"Whitefield",250,"Delivery","Whitefield"
"Sri Lakshmi Dhaba","Yes","No",2.9,255,"BTM",250,"Delivery","Bannerghatta Road"
"Vegetarea","Yes","No",3.9,38,"BTM",250,"Delivery","Bannerghatta Road"
"Kalingas","Yes","No",3.9,173,"BTM",250,"Delivery","Bannerghatta Road"
"The Shawarma Shop","Yes","No",4.1,381,"BTM",250,"Delivery","Bannerghatta Road"
"Pathaan Sir","Yes","No",3.9,183,"BTM",250,"Delivery","Bannerghatta Road"
"Delhi Biryani Cafe","Yes","No",3.5,10,"BTM",250,"Delivery","Bannerghatta Road"
"Laddoos","Yes","No",3.4,276,"BTM",250,"Delivery","Bannerghatta Road"
"Miss Momo","Yes","No",3.2,12,"BTM",250,"Delivery","Bannerghatta Road"
"Just Chill","Yes","No",3.4,54,"BTM",250,"Delivery","Bannerghatta Road"
"Udupi Thaja Thindi","Yes","No",2.9,42,"BTM",250,"Delivery","Bannerghatta Road"
"Cupcake Bliss","Yes","No",3.5,9,"BTM",250,"Delivery","Bannerghatta Road"
"Armaani Caffe","Yes","No",3.5,12,"BTM",250,"Delivery","Bannerghatta Road"
"Chaatimes","Yes","No",4.1,9,"BTM",250,"Delivery","Bannerghatta Road"
"Juice Lounge","Yes","No",3.1,28,"BTM",250,"Delivery","Bannerghatta Road"
"Miss Momo","Yes","No",3.2,10,"BTM",250,"Delivery","Basavanagudi"
"Sri Lakshmi Dhaba","Yes","No",2.9,257,"BTM",250,"Delivery","BTM"
"Kalingas","Yes","No",3.9,179,"BTM",250,"Delivery","BTM"
"Vegetarea","Yes","No",3.9,38,"BTM",250,"Delivery","BTM"
"Chaatimes","Yes","No",4.2,9,"BTM",250,"Delivery","BTM"
"Anda Ka Funda","Yes","No",3.2,64,"BTM",250,"Delivery","BTM"
"AM's Cafe Recreate","Yes","No",3.3,8,"BTM",250,"Delivery","BTM"
"Delhi Biryani Cafe","Yes","No",3.5,10,"BTM",250,"Delivery","BTM"
"Indian Paratha Factory","Yes","No",2.9,24,"BTM",250,"Delivery","BTM"
"Laddoos","Yes","No",3.4,277,"BTM",250,"Delivery","BTM"
"Sri Sapana Dhaba","Yes","No",3.3,9,"BTM",250,"Delivery","BTM"
"Udupi Thaja Thindi","Yes","No",2.9,42,"BTM",250,"Delivery","BTM"
"Just Chill","Yes","No",3.4,54,"BTM",250,"Delivery","BTM"
"Chilld Monk","Yes","No",3.5,8,"BTM",250,"Delivery","BTM"
"The Shawarma Shop","Yes","No",4.1,381,"BTM",250,"Delivery","BTM"
"Nilu Ki Rasoi","Yes","No",3.7,37,"BTM",250,"Delivery","BTM"
"Ilyazsab The House Of Chicken","Yes","No",4,117,"BTM",250,"Delivery","BTM"
"Eat N Drink","No","No",3.8,87,"BTM",250,"Delivery","BTM"
"Mini Adiga's","No","No",2.8,27,"BTM",250,"Delivery","BTM"
"French Bakery","No","No",3.3,7,"BTM",250,"Delivery","BTM"
"Armaani Caffe","Yes","No",3.5,12,"BTM",250,"Delivery","BTM"
"Borah's Kitchen","Yes","No",3.3,12,"BTM",250,"Delivery","BTM"
"Hunger Buds","No","No",3.5,10,"BTM",250,"Delivery","BTM"
"Pothichor","No","No",3.5,12,"BTM",250,"Delivery","BTM"
"Ambur Azad Darbar","No","No",3.2,6,"BTM",250,"Delivery","BTM"
"What the Food","No","No",3.6,38,"BTM",250,"Delivery","BTM"
"Two States","No","No",3.4,5,"BTM",250,"Delivery","BTM"
"SoopeRolls","No","No",3.5,11,"BTM",250,"Delivery","BTM"
"Adithya Family Restaurant","No","No",3.7,27,"BTM",250,"Delivery","BTM"
"Amara Food Point","No","No",3.3,4,"BTM",250,"Delivery","BTM"
"Miss Momo","Yes","No",3.2,10,"BTM",250,"Delivery","BTM"
"Marunadan Kada","No","No",3.3,6,"BTM",250,"Delivery","BTM"
"Lassi Pot","Yes","No",3.3,4,"BTM",250,"Delivery","BTM"
"Miss Momo","Yes","No",3.2,12,"BTM",250,"Delivery","BTM"
"Desi Vdesi","Yes","No",3.8,50,"BTM",250,"Delivery","BTM"
"Juice Lounge","Yes","No",3.1,28,"BTM",250,"Delivery","BTM"
"AM's Cafe Recreate","Yes","No",3.3,8,"BTM",250,"Delivery","HSR"
"Fish Chain","Yes","No",4.1,52,"BTM",250,"Delivery","Jayanagar"
"Sri Lakshmi Dhaba","Yes","No",2.9,258,"BTM",250,"Delivery","Jayanagar"
"Kalingas","Yes","No",3.9,181,"BTM",250,"Delivery","Jayanagar"
"Ilyazsab The House Of Chicken","Yes","No",4,118,"BTM",250,"Delivery","Jayanagar"
"Vegetarea","Yes","No",3.9,38,"BTM",250,"Delivery","Jayanagar"
"The Shawarma Shop","Yes","No",4.1,381,"BTM",250,"Delivery","Jayanagar"
"Darshan Paradise Restaurant","Yes","No",3.6,15,"BTM",250,"Delivery","Jayanagar"
"Anda Ka Funda","Yes","No",3.2,64,"BTM",250,"Delivery","Jayanagar"
"Laddoos","Yes","No",3.4,277,"BTM",250,"Delivery","Jayanagar"
"AM's Cafe Recreate","Yes","No",3.3,8,"BTM",250,"Delivery","Jayanagar"
"Delhi Biryani Cafe","Yes","No",3.4,10,"BTM",250,"Delivery","Jayanagar"
"Indian Paratha Factory","Yes","No",2.9,24,"BTM",250,"Delivery","Jayanagar"
"Sri Sapana Dhaba","Yes","No",3.4,9,"BTM",250,"Delivery","Jayanagar"
"Udupi Thaja Thindi","Yes","No",2.9,42,"BTM",250,"Delivery","Jayanagar"
"Miss Momo","Yes","No",3.2,12,"BTM",250,"Delivery","Jayanagar"
"Chilld Monk","Yes","No",3.5,8,"BTM",250,"Delivery","Jayanagar"
"Just Chill","Yes","No",3.4,54,"BTM",250,"Delivery","Jayanagar"
"Chaatimes","Yes","No",4.2,9,"BTM",250,"Delivery","Jayanagar"
"Lassi Pot","Yes","No",3.3,4,"BTM",250,"Delivery","Jayanagar"
"Miss Momo","Yes","No",3.2,10,"BTM",250,"Delivery","Jayanagar"
"Borah's Kitchen","Yes","No",3.3,12,"BTM",250,"Delivery","Jayanagar"
"Armaani Caffe","Yes","No",3.5,12,"BTM",250,"Delivery","Jayanagar"
"Mangalore Lunch Home","Yes","No",3.6,42,"BTM",250,"Delivery","Jayanagar"
"Eat N Drink","No","No",3.8,87,"BTM",250,"Delivery","Jayanagar"
"What the Food","No","No",3.6,38,"BTM",250,"Delivery","Jayanagar"
"Ambur Azad Darbar","No","No",3.2,6,"BTM",250,"Delivery","Jayanagar"
"Marunadan Kada","No","No",3.3,6,"BTM",250,"Delivery","Jayanagar"
"Desi Vdesi","Yes","No",3.8,50,"BTM",250,"Delivery","Jayanagar"
"Juice Lounge","Yes","No",3.1,28,"BTM",250,"Delivery","Jayanagar"
"Fish Chain","Yes","No",4.1,52,"BTM",250,"Delivery","JP Nagar"
"Sri Lakshmi Dhaba","Yes","No",2.9,258,"BTM",250,"Delivery","JP Nagar"
"Kalingas","Yes","No",3.9,181,"BTM",250,"Delivery","JP Nagar"
"Vegetarea","Yes","No",3.9,38,"BTM",250,"Delivery","JP Nagar"
"Ilyazsab The House Of Chicken","Yes","No",4,118,"BTM",250,"Delivery","JP Nagar"
"The Shawarma Shop","Yes","No",4.1,381,"BTM",250,"Delivery","JP Nagar"
"Pathaan Sir","Yes","No",3.9,183,"BTM",250,"Delivery","JP Nagar"
"Darshan Paradise Restaurant","Yes","No",3.6,15,"BTM",250,"Delivery","JP Nagar"
"Laddoos","Yes","No",3.4,277,"BTM",250,"Delivery","JP Nagar"
"Delhi Biryani Cafe","Yes","No",3.5,10,"BTM",250,"Delivery","JP Nagar"
"Sri Sapana Dhaba","Yes","No",3.4,9,"BTM",250,"Delivery","JP Nagar"
"Miss Momo","Yes","No",3.2,12,"BTM",250,"Delivery","JP Nagar"
"Udupi Thaja Thindi","Yes","No",2.9,42,"BTM",250,"Delivery","JP Nagar"
"Just Chill","Yes","No",3.4,54,"BTM",250,"Delivery","JP Nagar"
"Chilld Monk","Yes","No",3.5,8,"BTM",250,"Delivery","JP Nagar"
"Cupcake Bliss","Yes","No",3.5,11,"BTM",250,"Delivery","JP Nagar"
"Chaatimes","Yes","No",4.2,9,"BTM",250,"Delivery","JP Nagar"
"Armaani Caffe","Yes","No",3.5,12,"BTM",250,"Delivery","JP Nagar"
"Miss Momo","Yes","No",3.2,10,"BTM",250,"Delivery","JP Nagar"
"Borah's Kitchen","Yes","No",3.3,12,"BTM",250,"Delivery","JP Nagar"
"Mangalore Lunch Home","Yes","No",3.6,42,"BTM",250,"Delivery","JP Nagar"
"Marunadan Kada","No","No",3.3,6,"BTM",250,"Delivery","JP Nagar"
"Juice Lounge","Yes","No",3.1,28,"BTM",250,"Delivery","JP Nagar"
"Vegetarea","Yes","No",3.8,40,"BTM",250,"Delivery","Koramangala 4th Block"
"Ilyazsab The House Of Chicken","Yes","No",4,119,"BTM",250,"Delivery","Koramangala 4th Block"
"The Shawarma Shop","Yes","No",4.1,382,"BTM",250,"Delivery","Koramangala 4th Block"
"Anda Ka Funda","Yes","No",3.2,64,"BTM",250,"Delivery","Koramangala 4th Block"
"Laddoos","Yes","No",3.4,277,"BTM",250,"Delivery","Koramangala 4th Block"
"AM's Cafe Recreate","Yes","No",3.3,8,"BTM",250,"Delivery","Koramangala 4th Block"
"Delhi Biryani Cafe","Yes","No",3.4,10,"BTM",250,"Delivery","Koramangala 4th Block"
"Indian Paratha Factory","Yes","No",2.9,24,"BTM",250,"Delivery","Koramangala 4th Block"
"Miss Momo","Yes","No",3.2,12,"BTM",250,"Delivery","Koramangala 4th Block"
"Just Chill","Yes","No",3.4,54,"BTM",250,"Delivery","Koramangala 4th Block"
"Chilld Monk","Yes","No",3.5,8,"BTM",250,"Delivery","Koramangala 4th Block"
"Big Mishra Pedha","No","No",3.7,61,"BTM",250,"Delivery","Koramangala 4th Block"
"Lassi Pot","Yes","No",3.3,4,"BTM",250,"Delivery","Koramangala 4th Block"
"Armaani Caffe","Yes","No",3.5,12,"BTM",250,"Delivery","Koramangala 4th Block"
"Miss Momo","Yes","No",3.2,10,"BTM",250,"Delivery","Koramangala 4th Block"
"Borah's Kitchen","Yes","No",3.3,12,"BTM",250,"Delivery","Koramangala 4th Block"
"Mangalore Lunch Home","Yes","No",3.6,42,"BTM",250,"Delivery","Koramangala 4th Block"
"Adithya Family Restaurant","No","No",3.7,27,"BTM",250,"Delivery","Koramangala 4th Block"
"French Bakery","No","No",3.3,7,"BTM",250,"Delivery","Koramangala 4th Block"
"What the Food","No","No",3.6,38,"BTM",250,"Delivery","Koramangala 4th Block"
"Two States","No","No",3.4,5,"BTM",250,"Delivery","Koramangala 4th Block"
"Desi Vdesi","Yes","No",3.8,50,"BTM",250,"Delivery","Koramangala 4th Block"
"Juice Lounge","Yes","No",3.1,28,"BTM",250,"Delivery","Koramangala 4th Block"
"Fish Chain","Yes","No",4.1,54,"BTM",250,"Delivery","Koramangala 5th Block"
"Sri Lakshmi Dhaba","Yes","No",3,260,"BTM",250,"Delivery","Koramangala 5th Block"
"Kalingas","Yes","No",3.9,182,"BTM",250,"Delivery","Koramangala 5th Block"
"Vegetarea","Yes","No",3.8,40,"BTM",250,"Delivery","Koramangala 5th Block"
"Chai Point","Yes","No",4,113,"BTM",250,"Delivery","Koramangala 5th Block"
"The Shawarma Shop","Yes","No",4.1,382,"BTM",250,"Delivery","Koramangala 5th Block"
"Anda Ka Funda","Yes","No",3.2,64,"BTM",250,"Delivery","Koramangala 5th Block"
"AM's Cafe Recreate","Yes","No",3.3,8,"BTM",250,"Delivery","Koramangala 5th Block"
"Delhi Biryani Cafe","Yes","No",3.5,10,"BTM",250,"Delivery","Koramangala 5th Block"
"Indian Paratha Factory","Yes","No",2.9,24,"BTM",250,"Delivery","Koramangala 5th Block"
"Laddoos","Yes","No",3.4,277,"BTM",250,"Delivery","Koramangala 5th Block"
"Sri Sapana Dhaba","Yes","No",3.2,11,"BTM",250,"Delivery","Koramangala 5th Block"
"Dessi Cuppa","Yes","No",3.4,6,"BTM",250,"Delivery","Koramangala 5th Block"
"Udupi Thaja Thindi","Yes","No",2.9,42,"BTM",250,"Delivery","Koramangala 5th Block"
"Just Chill","Yes","No",3.4,54,"BTM",250,"Delivery","Koramangala 5th Block"
"Chaatimes","Yes","No",4.2,9,"BTM",250,"Delivery","Koramangala 5th Block"
"Chilld Monk","Yes","No",3.5,8,"BTM",250,"Delivery","Koramangala 5th Block"
"Borah's Kitchen","Yes","No",3.3,12,"BTM",250,"Delivery","Koramangala 5th Block"
"Ilyazsab The House Of Chicken","Yes","No",4,120,"BTM",250,"Delivery","Koramangala 5th Block"
"Mangalore Lunch Home","Yes","No",3.6,43,"BTM",250,"Delivery","Koramangala 5th Block"
"Big Mishra Pedha","No","No",3.7,61,"BTM",250,"Delivery","Koramangala 5th Block"
"Armaani Caffe","Yes","No",3.5,12,"BTM",250,"Delivery","Koramangala 5th Block"
"Miss Momo","Yes","No",3.2,12,"BTM",250,"Delivery","Koramangala 5th Block"
"Lassi Pot","Yes","No",3.3,4,"BTM",250,"Delivery","Koramangala 5th Block"
"Miss Momo","Yes","No",3.2,13,"BTM",250,"Delivery","Koramangala 5th Block"
"Kataria's Home Food","Yes","No",3.1,40,"BTM",250,"Delivery","Koramangala 5th Block"
"Eat N Drink","No","No",3.8,87,"BTM",250,"Delivery","Koramangala 5th Block"
"Mini Adiga's","No","No",2.8,27,"BTM",250,"Delivery","Koramangala 5th Block"
"French Bakery","No","No",3.3,7,"BTM",250,"Delivery","Koramangala 5th Block"
"What the Food","No","No",3.6,38,"BTM",250,"Delivery","Koramangala 5th Block"
"Hunger Buds","No","No",3.5,10,"BTM",250,"Delivery","Koramangala 5th Block"
"Two States","No","No",3.4,5,"BTM",250,"Delivery","Koramangala 5th Block"
"Adithya Family Restaurant","No","No",3.7,27,"BTM",250,"Delivery","Koramangala 5th Block"
"Ambur Azad Darbar","No","No",3.1,6,"BTM",250,"Delivery","Koramangala 5th Block"
"Marunadan Kada","No","No",3.3,6,"BTM",250,"Delivery","Koramangala 5th Block"
"Desi Vdesi","Yes","No",3.8,50,"BTM",250,"Delivery","Koramangala 5th Block"
"Juice Lounge","Yes","No",3.1,28,"BTM",250,"Delivery","Koramangala 5th Block"
"Ilyazsab The House Of Chicken","Yes","No",4,120,"BTM",250,"Delivery","Koramangala 6th Block"
"Vegetarea","Yes","No",3.8,40,"BTM",250,"Delivery","Koramangala 6th Block"
"The Shawarma Shop","Yes","No",4.1,382,"BTM",250,"Delivery","Koramangala 6th Block"
"AM's Cafe Recreate","Yes","No",3.4,10,"BTM",250,"Delivery","Koramangala 6th Block"
"Anda Ka Funda","Yes","No",3.2,64,"BTM",250,"Delivery","Koramangala 6th Block"
"Indian Paratha Factory","Yes","No",2.9,24,"BTM",250,"Delivery","Koramangala 6th Block"
"Laddoos","Yes","No",3.4,277,"BTM",250,"Delivery","Koramangala 6th Block"
"Miss Momo","Yes","No",3.2,13,"BTM",250,"Delivery","Koramangala 6th Block"
"Chilld Monk","Yes","No",3.5,9,"BTM",250,"Delivery","Koramangala 6th Block"
"Borah's Kitchen","Yes","No",3.3,12,"BTM",250,"Delivery","Koramangala 6th Block"
"Just Chill","Yes","No",3.4,54,"BTM",250,"Delivery","Koramangala 6th Block"
"Lassi Pot","Yes","No",3.3,4,"BTM",250,"Delivery","Koramangala 6th Block"
"Armaani Caffe","Yes","No",3.5,12,"BTM",250,"Delivery","Koramangala 6th Block"
"Chai Point","Yes","No",4,113,"BTM",250,"Delivery","Koramangala 6th Block"
"Mangalore Lunch Home","Yes","No",3.6,43,"BTM",250,"Delivery","Koramangala 6th Block"
"Chaatimes","Yes","No",4.2,9,"BTM",250,"Delivery","Koramangala 6th Block"
"Adithya Family Restaurant","No","No",3.7,27,"BTM",250,"Delivery","Koramangala 6th Block"
"Miss Momo","Yes","No",3.2,11,"BTM",250,"Delivery","Koramangala 6th Block"
"Desi Vdesi","Yes","No",3.8,50,"BTM",250,"Delivery","Koramangala 6th Block"
"Kataria's Home Food","Yes","No",3.1,40,"BTM",250,"Delivery","Koramangala 6th Block"
"Eat N Drink","No","No",3.8,87,"BTM",250,"Delivery","Koramangala 6th Block"
"Mini Adiga's","No","No",2.8,27,"BTM",250,"Delivery","Koramangala 6th Block"
"What the Food","No","No",3.6,38,"BTM",250,"Delivery","Koramangala 6th Block"
"Two States","No","No",3.4,5,"BTM",250,"Delivery","Koramangala 6th Block"
"Juice Lounge","Yes","No",3.1,28,"BTM",250,"Delivery","Koramangala 6th Block"
"Ilyazsab The House Of Chicken","Yes","No",4,120,"BTM",250,"Delivery","Koramangala 7th Block"
"Fish Chain","Yes","No",4.1,58,"BTM",250,"Delivery","Koramangala 7th Block"
"Sri Lakshmi Dhaba","Yes","No",3,262,"BTM",250,"Delivery","Koramangala 7th Block"
"Vegetarea","Yes","No",3.8,40,"BTM",250,"Delivery","Koramangala 7th Block"
"Kalingas","Yes","No",3.9,185,"BTM",250,"Delivery","Koramangala 7th Block"
"The Shawarma Shop","Yes","No",4.1,382,"BTM",250,"Delivery","Koramangala 7th Block"
"AM's Cafe Recreate","Yes","No",3.4,10,"BTM",250,"Delivery","Koramangala 7th Block"
"Anda Ka Funda","Yes","No",3.2,64,"BTM",250,"Delivery","Koramangala 7th Block"
"Delhi Biryani Cafe","Yes","No",3.5,10,"BTM",250,"Delivery","Koramangala 7th Block"
"Sri Sapana Dhaba","Yes","No",3.2,11,"BTM",250,"Delivery","Koramangala 7th Block"
"Indian Paratha Factory","Yes","No",2.9,24,"BTM",250,"Delivery","Koramangala 7th Block"
"Laddoos","Yes","No",3.4,277,"BTM",250,"Delivery","Koramangala 7th Block"
"Dessi Cuppa","Yes","No",3.4,6,"BTM",250,"Delivery","Koramangala 7th Block"
"Miss Momo","Yes","No",3.3,13,"BTM",250,"Delivery","Koramangala 7th Block"
"Chilld Monk","Yes","No",3.5,9,"BTM",250,"Delivery","Koramangala 7th Block"
"Udupi Thaja Thindi","Yes","No",2.9,42,"BTM",250,"Delivery","Koramangala 7th Block"
"Borah's Kitchen","Yes","No",3.3,12,"BTM",250,"Delivery","Koramangala 7th Block"
"Just Chill","Yes","No",3.4,54,"BTM",250,"Delivery","Koramangala 7th Block"
"Lassi Pot","Yes","No",3.3,4,"BTM",250,"Delivery","Koramangala 7th Block"
"Armaani Caffe","Yes","No",3.5,12,"BTM",250,"Delivery","Koramangala 7th Block"
"Mangalore Lunch Home","Yes","No",3.6,43,"BTM",250,"Delivery","Koramangala 7th Block"
"Chaatimes","Yes","No",4.2,9,"BTM",250,"Delivery","Koramangala 7th Block"
"Adithya Family Restaurant","No","No",3.7,27,"BTM",250,"Delivery","Koramangala 7th Block"
"Miss Momo","Yes","No",3.2,11,"BTM",250,"Delivery","Koramangala 7th Block"
"Kataria's Home Food","Yes","No",3.1,40,"BTM",250,"Delivery","Koramangala 7th Block"
"Eat N Drink","No","No",3.8,87,"BTM",250,"Delivery","Koramangala 7th Block"
"Mini Adiga's","No","No",2.8,27,"BTM",250,"Delivery","Koramangala 7th Block"
"French Bakery","No","No",3.3,7,"BTM",250,"Delivery","Koramangala 7th Block"
"What the Food","No","No",3.6,38,"BTM",250,"Delivery","Koramangala 7th Block"
"Hunger Buds","No","No",3.5,10,"BTM",250,"Delivery","Koramangala 7th Block"
"Two States","No","No",3.4,5,"BTM",250,"Delivery","Koramangala 7th Block"
"Ambur Azad Darbar","No","No",3.2,6,"BTM",250,"Delivery","Koramangala 7th Block"
"Marunadan Kada","No","No",3.3,6,"BTM",250,"Delivery","Koramangala 7th Block"
"Juice Lounge","Yes","No",3.1,28,"BTM",250,"Delivery","Koramangala 7th Block"
"1947","No","Yes",4,808,"Banashankari",850,"Delivery","Banashankari"
"Nandhana Palace","No","Yes",4.1,1000,"Bannerghatta Road",800,"Delivery","Bannerghatta Road"
"Eagle Ridge","No","Yes",3.2,8,"Bannerghatta Road",700,"Delivery","Bannerghatta Road"
"Shee-Sha Cafe","No","Yes",3.6,39,"Bannerghatta Road",800,"Delivery","Bannerghatta Road"
"Bottle Breacher","No","Yes",4.1,1187,"JP Nagar",1200,"Delivery","Bannerghatta Road"
"Kesariya","No","Yes",4.2,1212,"JP Nagar",1200,"Delivery","Bannerghatta Road"
"Mango Greens","No","Yes",3.9,49,"JP Nagar",900,"Delivery","Bannerghatta Road"
"Coastal Mama","No","Yes",4.1,466,"JP Nagar",700,"Delivery","Bannerghatta Road"
"Thirsty Tiger","No","Yes",3.5,51,"JP Nagar",1300,"Delivery","Bannerghatta Road"
"The Lounge - Eden Park Restaurants","No","Yes",3.7,151,"Jayanagar",1350,"Delivery","Basavanagudi"
"1947","No","Yes",4.1,2303,"Jayanagar",950,"Delivery","Basavanagudi"
"The Sofraah Kebabs & Kurries - Eden Park Restaurants","No","Yes",3.8,176,"Jayanagar",1350,"Delivery","Basavanagudi"
"Clove Rooftop","No","Yes",3.8,235,"Jayanagar",1000,"Delivery","Basavanagudi"
"Enerjuvate Studio & Cafe","No","Yes",4.2,731,"Jayanagar",800,"Delivery","Basavanagudi"
"Cafe Cosy","No","Yes",4.1,102,"Jayanagar",800,"Delivery","Basavanagudi"
"La Casa","No","Yes",3.6,571,"Jayanagar",800,"Delivery","Basavanagudi"
"THE RIG","No","Yes",4.3,1585,"Sarjapur Road",1500,"Delivery","Bellandur"
"Nayi Dilli by Anand Sweets","No","Yes",4,119,"Sarjapur Road",1000,"Delivery","Bellandur"
"Baba Da Dhaba","No","Yes",3.6,32,"Sarjapur Road",650,"Delivery","Bellandur"
"Double Decker","No","Yes",4.3,2651,"Brigade Road",1300,"Delivery","Brigade Road"
"Baba Da Dhaba","No","Yes",4.1,373,"Brigade Road",650,"Delivery","Brigade Road"
"Retro Lounge Bar","No","Yes",3.8,108,"Ulsoor",1400,"Delivery","Brigade Road"
"Sunny's","No","Yes",4.1,1327,"Lavelle Road",2100,"Delivery","Brigade Road"
"Nandhini Paradise","No","Yes",3.6,277,"St. Marks Road",800,"Delivery","Brigade Road"
"Fava","No","Yes",4.4,2039,"Lavelle Road",1200,"Delivery","Brigade Road"
"Amber Rush Restobar","No","Yes",4.1,93,"Residency Road",1000,"Delivery","Brigade Road"
"The Bangalore Cafe","No","Yes",4.1,473,"Shanti Nagar",800,"Delivery","Brigade Road"
"Sakae Japanese Restaurant","No","Yes",4.3,518,"Shanti Nagar",1400,"Delivery","Brigade Road"
"BISO - Citrus Hotels","No","Yes",3.9,156,"Cunningham Road",1100,"Delivery","Brigade Road"
"The Dhaba","No","Yes",2.7,442,"Marathahalli",900,"Delivery","Brookefield"
"Marigold Fine Dine Restaurant","No","Yes",4,288,"Whitefield",1500,"Delivery","Brookefield"
"Flavours Radha Hometel","No","Yes",3.5,185,"Whitefield",800,"Delivery","Brookefield"
"Southern Spice","No","Yes",3,83,"Whitefield",1200,"Delivery","Brookefield"
"Mega Bite","No","Yes",3.6,54,"Whitefield",1100,"Delivery","Brookefield"
"Pecos Hideout","No","Yes",4,165,"BTM",1100,"Delivery","BTM"
"Gilly's Restobar","No","Yes",4.5,3902,"Koramangala 5th Block",1000,"Delivery","BTM"
"Bottle Breacher","No","Yes",4.2,1192,"JP Nagar",1200,"Delivery","BTM"
